"","USER_ID_hash","COUPON_ID_hash"
"873","0000b53e182165208887ba65c079fc21","de80288d79d7e6d927b7e829d59c9ce6"
"1619","00035b86e6884589ec8d28fbf2fe7757","f5a77f2907876411752d58e1b9030023"
"1849","0005b1068d5f2b8f2a7c978fcfe1ca06","5723e6dc3cfcdb73119e91c9bd37fd1b"
"31258","000cc06982785a19e2a2fdb40b1c9d59","9ce0b65cbbc6645e9ca4b4719f30a2e9"
"51680","0013518e41c416cd6a181d277dd8ca0b","2bfb0ce2886e31ae8e768feb4caa13bc"
"60640","001acdee812a18acfd7509172bed5700","e79bf32c70bd1df80c39eca3065de785"
"12057","001fd7876e3aa29393537c6baf308e43","281326ffac6d5dd2eec24f7bde0078d7"
"61857","002383753c1e5d6305c8aff6f89e26d6",NA
"62163","0025cae7997d25ea5cf8851bb099c798","db25ee0094a086ed6663f94e41428835"
"889","002822059a01d895fad84f2f2ff5c1f1","de80288d79d7e6d927b7e829d59c9ce6"
"63346","002ae30377cd30f65652e52618e8b2d6",NA
"63875","002b08971471e6083dd716f6c3bb6572","2ea355faf68262d56fd7e94735e2c8e5"
"81453","002bbdd51b2a042c051c66c43b55439a","fefa1884298dd5d241437da39c0026b0"
"63211","002f5c29fdf99b4115bf4a93c9241d19",NA
"88880","003a7b4941222b7e507fdc9e95de2cc1",NA
"57182","003e02424d0a6ec3ee80d231939fac7c","c988d799bc7db9254fe865ee6cf2d4ff"
"85150","0042fc64a751d0b98e9148e3c366d319","b3980f2d6fa46ac79d207326d656be89"
"54510","00441c9b51cfe60b82bdf7a20ad79fc8","c988d799bc7db9254fe865ee6cf2d4ff"
"61646","00454d0ad87f2e423cc3cc201fde8c8c",NA
"91411","0047658498c5026a2bfa33b6f0573766","0c015306597566b632bebfb63b7e59f3"
"109788","0047a9d43268c7cddf4a874c3dbb6f9f",NA
"110055","004c5867575223ca7d7d3de4e8e1e23a",NA
"61759","004d75de304e67612ec60e675af66839",NA
"101603","004e1508270f3c9a0eb3cdfe89470c12","0c015306597566b632bebfb63b7e59f3"
"113641","004e3f8a3635f9a0144771feaf8a1e32","ee06ee50d4c9c1517553735a2f78ea93"
"114910","004f67d329e3e56adef98c9aa8074e97","f80fab877d09509cd56dcbc9a251275d"
